"image_path","product_name","review_text","expected_label"
"data/ground_truth/0d6b98ef35d4_img3.jpg","Sữa bột Abbott Grow 1+ 800/850g cho trẻ 12-24 tháng cung cấp đầy đủ dưỡng chất bổ sung canxi giúp răng chắc khỏe và tăng chiều cao vượt trội-Giới hạn 5 sản phẩm/khách hàng","Em bé của tôi thích hương vị vani., Công thức bột tiện lợi để chuẩn bị dễ dàng, Sản phẩm chính hãng với bao bì tốt.,","intact"
"data/ground_truth/17d8753c70c0_img3.jpg","Sữa bột Abbott Grow 1+ 800/850g cho trẻ 12-24 tháng cung cấp đầy đủ dưỡng chất bổ sung canxi giúp răng chắc khỏe và tăng chiều cao vượt trội-Giới hạn 5 sản phẩm/khách hàng","Mua sữa lần đầu trên lazada, shop mall mà đóng gói quá sơ sài, sữa bung nắp văng tung toé ra bên ngoài và thành hộp. Bẩn và k còn đc kín nữa. Thất vọng. Mong shop xem lại cách bọc sản phẩm","damaged"
"data/ground_truth/208688e9b2fd_img3.jpg","Sữa bột Abbott Grow 1+ 800/850g cho trẻ 12-24 tháng cung cấp đầy đủ dưỡng chất bổ sung canxi giúp răng chắc khỏe và tăng chiều cao vượt trội-Giới hạn 5 sản phẩm/khách hàng","Shop giao sai sản phẩm . Lời khuyên cho mn đừng bị như e khi nhận khui hàng nhớ quay video kỹ rõ để vó gì còn đc trả đổi","wrong_item"
"data/ground_truth/22ac53dc5e94_img2.jpg","Quần jean dài ống suôn vải wach mềm mịn không bay màu T28","Quân lừa đảo, giao thiếu và sai hàng, không phản hồi, rồi ai sẽ mua hàng ở shop này nữa, trời diệt chúng mày đi","wrong_item"
"data/ground_truth/2cb3f5fe3faa_img1.jpg","Sữa bột Abbott Grow 1+ 800/850g cho trẻ 12-24 tháng cung cấp đầy đủ dưỡng chất bổ sung canxi giúp răng chắc khỏe và tăng chiều cao vượt trội-Giới hạn 5 sản phẩm/khách hàng","Mình mua nhiều lần rồi nhưng không biết tại sao mấy lần sau này ko thấy dán team check mã code nữa","irrelevant"
"data/ground_truth/2cdc63c500f2_img3.jpg","Sữa bột Abbott Grow 1+ 800/850g cho trẻ 12-24 tháng cung cấp đầy đủ dưỡng chất bổ sung canxi giúp răng chắc khỏe và tăng chiều cao vượt trội-Giới hạn 5 sản phẩm/khách hàng","Sản phẩm chính hãng với bao bì tốt., Công thức bột tiện lợi để chuẩn bị dễ dàng, Rất khuyến khích cho trẻ từ 12-24 tháng tuổi., Giúp hỗ trợ sự phát triển và tăng trưởng tổng thể.,","intact"
"data/ground_truth/41415f13604b_img2.jpg","Sữa bột Abbott Grow 1+ 800/850g cho trẻ 12-24 tháng cung cấp đầy đủ dưỡng chất bổ sung canxi giúp răng chắc khỏe và tăng chiều cao vượt trội-Giới hạn 5 sản phẩm/khách hàng","Rất khuyến khích cho trẻ từ 12-24 tháng tuổi., Em bé của tôi thích hương vị vani., Sản phẩm chính hãng với bao bì tốt., Công thức sữa tốt nhất cho bé của tôi.,","irrelevant"
"data/ground_truth/4241946a208b_img3.jpg","Sữa bột Abbott Grow 1+ 800/850g cho trẻ 12-24 tháng cung cấp đầy đủ dưỡng chất bổ sung canxi giúp răng chắc khỏe và tăng chiều cao vượt trội-Giới hạn 5 sản phẩm/khách hàng","Giúp hỗ trợ sự phát triển và tăng trưởng tổng thể., Sản phẩm chính hãng với bao bì tốt.,","intact"
"data/ground_truth/78f5b72282ac_img1.jpg","Sữa bột Abbott Grow 1+ 800/850g cho trẻ 12-24 tháng cung cấp đầy đủ dưỡng chất bổ sung canxi giúp răng chắc khỏe và tăng chiều cao vượt trội-Giới hạn 5 sản phẩm/khách hàng","ngọt","irrelevant"
"data/ground_truth/98976369cd37_img1.jpg","Sữa bột Abbott Grow 1+ 800/850g cho trẻ 12-24 tháng cung cấp đầy đủ dưỡng chất bổ sung canxi giúp răng chắc khỏe và tăng chiều cao vượt trội-Giới hạn 5 sản phẩm/khách hàng","Công thức bột tiện lợi để chuẩn bị dễ dàng, Giúp hỗ trợ sự phát triển và tăng trưởng tổng thể., Rất khuyến khích cho trẻ từ 12-24 tháng tuổi., Rất khuyến khích cho trẻ từ 12-24 tháng tuổi., Công thức sữa tốt nhất cho bé của tôi.,","irrelevant"
"data/ground_truth/a68735521091_img2.jpg","Quần jean dài ống suôn vải wach mềm mịn không bay màu T28","Shop giao sai mầu, đặt mua mầu xanh nhạt mà Shop giao mầu đen. giao đúng size. ................","wrong_item"
"data/ground_truth/cd5b44f7459c_img2.jpg","Sữa bột Abbott Grow 1+ 800/850g cho trẻ 12-24 tháng cung cấp đầy đủ dưỡng chất bổ sung canxi giúp răng chắc khỏe và tăng chiều cao vượt trội-Giới hạn 5 sản phẩm/khách hàng","mua ở shop mall nên rất yên tâm, giá rẻ hơn ở các cửa hàng. shop chuẩn bị hàng và giao hàng nhanh","intact"
"data/ground_truth/d68358bdbcc9_img1.jpg","Sữa bột Abbott Grow 1+ 800/850g cho trẻ 12-24 tháng cung cấp đầy đủ dưỡng chất bổ sung canxi giúp răng chắc khỏe và tăng chiều cao vượt trội-Giới hạn 5 sản phẩm/khách hàng","Công thức bột tiện lợi để chuẩn bị dễ dàng, Công thức bột tiện lợi để chuẩn bị dễ dàng, Công thức sữa tốt nhất cho bé của tôi., Giúp hỗ trợ sự phát triển và tăng trưởng tổng thể., Sản phẩm chính hãng với bao bì tốt., Sản phẩm chính hãng với bao bì tốt., Giúp hỗ trợ sự phát triển và tăng trưởng tổng thể., Công thức sữa tốt nhất cho bé của tôi., Sản phẩm chính hãng với bao bì tốt.,","irrelevant"
"data/ground_truth/e0e913304a42_img1.jpg","Sữa bột Abbott Grow 1+ 800/850g cho trẻ 12-24 tháng cung cấp đầy đủ dưỡng chất bổ sung canxi giúp răng chắc khỏe và tăng chiều cao vượt trội-Giới hạn 5 sản phẩm/khách hàng","Em bé của tôi thích hương vị vani., Rất khuyến khích cho trẻ từ 12-24 tháng tuổi., Cửa hàng thể thao Hoàng Linh Địa chỉ : 15A Lê Lợi, phường Vũng Tàu, TPHCM (địa chỉ cũ: 15A Lê Lợi, phường 1, TP Vũng Tàu.) Số zalo: 0933 983 586 Mở cửa: T2-T7: 08h00 - 12h00 , 14h00-21h00 CN : 08h00 - 12h00 , 14h00-17h00.","irrelevant"
"data/ground_truth/e3443d2ecd0a_img1.jpg","Sữa bột Abbott Grow 1+ 800/850g cho trẻ 12-24 tháng cung cấp đầy đủ dưỡng chất bổ sung canxi giúp răng chắc khỏe và tăng chiều cao vượt trội-Giới hạn 5 sản phẩm/khách hàng","Mình mua của shop nhiều lần rồi rất hài lòng. ……… giao hàng đúng hẹn 😁😁😁😁🥲🥲🥲☺️☺️☺️😁😆😆😆😆😆☺️☺️☺️☺️☺️☺️☺️☺️☺️☺️☺️☺️","irrelevant"
"data/ground_truth/46b778f182c2_img1.jpg","Sữa bột Abbott Grow 1+ 800/850g cho trẻ 12-24 tháng cung cấp đầy đủ dưỡng chất bổ sung canxi giúp răng chắc khỏe và tăng chiều cao vượt trội-Giới hạn 5 sản phẩm/khách hàng","mmmlkhggjjffkkjhj......................................... ........bkknbvhjnn","intact"
"data/ground_truth/bf8f4a2be25a_img2.jpg","Sữa bột Abbott Grow 1+ 800/850g cho trẻ 12-24 tháng cung cấp đầy đủ dưỡng chất bổ sung canxi giúp răng chắc khỏe và tăng chiều cao vượt trội-Giới hạn 5 sản phẩm/khách hàng","chuẩn bị và giao hàng nhanh. sữa date xa. mùi vị thơm ngon dễ uống","intact"

